cdm_key,testcdm_key,type,summary,match_quality,notes
CDM-46,TESTCDM-1,Epic,Corporate Goals,exact,
CDM-10,TESTCDM-2,Goal,Identify 2+ New Features and/or Computational Methods to Improve Prediction Through Machine Learning and Strengthen Knowledge Base with 2+ New Patent Applications and/or Publications,exact,
CDM-12,TESTCDM-3,Goal,Achieving Partnership Goals in 2 of 3 Categories,exact,
CDM-20,TESTCDM-4,Goal,Expand Product Portfolio to Multi-Cancer and 1 Other Screening/Diagnostic Opportunities,exact,
CDM-58,TESTCDM-5,Subtask,Multi-Cancer Interim Analysis 12/31: Final Recruitment Strategy By February 2022,exact,
CDM-59,TESTCDM-6,Subtask,Multi-cancer Interim Analysis 12/31: PM IA Timeline by Mid-Year,exact,
CDM-60,TESTCDM-7,Subtask,"Multi-cancer Interim Analysis 12/31: Data Cut on September 01, 2022",exact,
CDM-61,TESTCDM-8,Subtask,Multi-cancer Interim Analysis 12/31: Data Clean Mid-October,exact,
CDM-62,TESTCDM-9,Subtask,"Multi-cancer Interim Analysis 12/31: SAP Final by September 01, 2022",exact,
CDM-63,TESTCDM-10,Subtask,TOO Work: Identify and Secure 1 TOO Partnership Agreement (USOR or MCI) by July 2022,exact,
CDM-22,TESTCDM-11,Goal,L201 FPI (by 04/30) and 25% Enrollment Complete (by 12/31),exact,
CDM-64,TESTCDM-12,Subtask,4/30 L201 FPI: EDC Database Live by March 2022,exact,
CDM-65,TESTCDM-13,Subtask,4/30 L201 FPI: 3 Sites Activated by March 2022,exact,
CDM-66,TESTCDM-14,Subtask,4/30 L201 FPI: Website Live,exact,
CDM-67,TESTCDM-15,Subtask,25% L201 Enrollment Complete: Science37 Enrolling,exact,
CDM-68,TESTCDM-16,Subtask,25% L201 Enrollment Complete: 20 Sites Activated,exact,
CDM-24,TESTCDM-17,Goal,LDT - Complete Clinical Validation and Infrastructure Readiness for LDT Launch in Q1'23 ,exact,
CDM-69,TESTCDM-18,Subtask,L101 2/3 Training in Q3: L101-NYU NC/ 2/3 LC Fully Enrolled,exact,
CDM-70,TESTCDM-19,Subtask,L101 2/3 Training in Q3: Data Clean for 2/3,exact,
CDM-71,TESTCDM-20,Subtask,L101 2/3 Training in Q3: Analysis Data Ready for Unblind,exact,
CDM-72,TESTCDM-21,Subtask,L101 2/3 Training in Q3: Classifier Locked / Results Submitted,exact,
CDM-73,TESTCDM-22,Subtask,L101 1/3 Analysis Complete: Remaining LC Fully Enrolled,exact,
CDM-74,TESTCDM-23,Subtask,L101 1/3 Analysis Complete: Data Clean for 1/3,exact,
CDM-75,TESTCDM-24,Subtask,L101 1/3 Analysis Complete: AV/CV Abstracts Submitted Q4,exact,
CDM-76,TESTCDM-25,Subtask,L101 1/3 Analysis Complete: Mock Patient Report,exact,
CDM-77,TESTCDM-26,Subtask,L101 1/3 Analysis Complete: Soft Publication Submission,exact,
CDM-44,TESTCDM-27,Goal,Hiring on Pace at >75% of Hiring Plan,exact,
CDM-78,TESTCDM-28,Subtask,Hire Research DM,exact,
CDM-79,TESTCDM-29,Epic,DELFI-L101,exact,
CDM-1,TESTCDM-30,Task,Create Projected Visits Report + Mechanism for Clinical Operations,exact,
CDM-2,TESTCDM-31,Task,"Generate Visualizations/Tables for Distributions of Sex, Age, Smoking between Cancer/Non-Cancer Subjects in L101-NYU",exact,
CDM-9,TESTCDM-32,Task,Confirm No Changes are Needed to L101 1/3 Data Cleaning Plan,exact,
CDM-18,TESTCDM-33,Task,Finalize Data Cleaning Plan or Data Snapshot Plan,exact,
CDM-40,TESTCDM-34,Subtask,Draft Data Cleaning Plan or Data Snapshot Plan,exact,
CDM-19,TESTCDM-35,Task,NYU Retrospective DTS Documents,exact,
CDM-90,TESTCDM-36,Subtask,Generate Retrospective DTS Shell,exact,
CDM-27,TESTCDM-37,Task,Approve L101 1/3 Data Release,exact,
CDM-29,TESTCDM-38,Task,Approve L101 2/3 Data Release,exact,
CDM-41,TESTCDM-39,Task,L101 Payments - Unsuccessful Blood Draw,exact,
CDM-81,TESTCDM-40,Task,Early 12 Month Follow Up Report,exact,
CDM-84,TESTCDM-41,Task,Reports to Program,exact,
CDM-88,TESTCDM-42,Subtask,Additional NYU-BLS LIMS Checks,exact,
CDM-89,TESTCDM-43,Subtask,Check to verify that NYU Screening data has associated CT scans,exact,
CDM-91,TESTCDM-44,Subtask,Report to flag datapoints buried due to in-form dynamics,exact,
CDM-93,TESTCDM-45,Subtask,"Report to check for CA.LNHISYN == ""No"" against reported CT data",exact,
CDM-114,TESTCDM-46,Subtask,CRA Monitoring Tracker for ClinOps,exact,
CDM-127,TESTCDM-47,Subtask,Non-Qualifying Enrollment CT Scans,exact,
CDM-110,TESTCDM-48,Task,Study Dashboard Updates,exact,
CDM-111,TESTCDM-49,Subtask,Priority Subject List Generation,exact,
CDM-112,TESTCDM-50,Subtask,Add Assigned CRA to Subject Summary Tab,exact,
CDM-113,TESTCDM-51,Subtask,Figure Out How to Distinguish Unclean Subjects Due to Incomplete Enrollment Visit vs Expected 12 Month Follow Up vs Incomplete 12 Month Follow Up (After Entry),exact,
CDM-128,TESTCDM-52,Task,Report Extraction Tracker Metrics,exact,
CDM-129,TESTCDM-53,Task,L101 Query Summary Report,exact,
CDM-130,TESTCDM-54,Task,Azenta Shipping Manifest Generation,exact,
CDM-131,TESTCDM-55,Subtask,Generate First Shipment,exact,
CDM-132,TESTCDM-56,Subtask,Generate Second Shipment,exact,
CDM-135,TESTCDM-57,Task,Inclusion #7 Listing for ClinOps,exact,
CDM-136,TESTCDM-58,Task,Site Payments Updates,exact,
CDM-137,TESTCDM-59,Task,Death Data Capture Clarification,exact,
CDM-138,TESTCDM-60,Task,CDM - L101 Medrio Database Update v.12,exact,
CDM-152,TESTCDM-61,Task,DELFI-L101 12 Month Cancer Status Review,exact,
CDM-191,TESTCDM-62,Subtask,DELFI-L101 12 Month Cancer Outcomes Review Update,exact,
CDM-253,TESTCDM-63,Subtask,DELFI-L101: 12 Month Cancer Outcomes Review,exact,
CDM-255,TESTCDM-64,Subtask,Typo fix: File Deletion Required?,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-255 from ['CDM-255', 'CDM-256']"
CDM-273,TESTCDM-65,Subtask,Add Subject Disposition form status and remove subjects that have completed required forms,exact,
CDM-409,TESTCDM-66,Subtask,Remove duplicate records from listing,exact,
CDM-427,TESTCDM-67,Subtask,"Update ""Ready for Review"" column to include site 300",exact,
CDM-447,TESTCDM-68,Subtask,Add Staging Type column,exact,
CDM-547,TESTCDM-69,Subtask,Update Review Ready variable to remove Report and CRF SDV requirement,collision-resolved,"shared summary with 1 other(s); picked lowest unused: CDM-547 from ['CDM-547', 'CDM-549']"
CDM-550,TESTCDM-70,Subtask,Add new fields from 12 Month Medical Record Review eCRF for review,exact,
CDM-154,TESTCDM-71,Task,DELFI-L101 Data Quality Review Manager Updates,exact,
CDM-155,TESTCDM-72,Task,DELFI-L101 Blood Sample Collection Pathology Dates Error Checking,exact,
CDM-167,TESTCDM-73,Task,DELFI-L101 Adverse Event Review,exact,
CDM-181,TESTCDM-74,Task,DELFI-L101 Unassigned Cohort Review,exact,
CDM-243,TESTCDM-75,Subtask,DELFI-L101: Unassigned Cohort Review,exact,
CDM-324,TESTCDM-76,Subtask,Bug: Fix duplicate records for Unassigned Cohort Review listing,exact,
CDM-557,TESTCDM-77,Subtask,Add Cohort Indeterminate Cases to track conversion to the alternative workflow,exact,
CDM-579,TESTCDM-78,Subtask,Update ClinOps Reviwer columns to CDM Reviewer columns,exact,
CDM-185,TESTCDM-79,Task,DELFI-L101 CRA Metrics Summary ,exact,
CDM-399,TESTCDM-80,Subtask,Add percent totals for imv report metrics,exact,
CDM-401,TESTCDM-81,Subtask,Add grand total row for all columns,exact,
CDM-407,TESTCDM-82,Subtask,Add upcoming and overdue columns for Counts of Report Status columns ,exact,
CDM-596,TESTCDM-83,Subtask,Update CRA Metrics function for DELFI-L101 Monitoring Visit & Visit Report Tracker link  ,exact,
CDM-186,TESTCDM-84,Task,DELFI-L101 Priority Subjects Tracker,exact,
CDM-356,TESTCDM-85,Subtask,DELFI-L101: Priority Subject Tracker - remove duplicates & update filter reference,exact,
CDM-402,TESTCDM-86,Subtask,Medical Monitoring / ClinOps Pending Data Quality Reviews should not show dqr counts that are not ready for review,exact,
CDM-404,TESTCDM-87,Subtask,Include all site 102 and site 119 subjects to the priority review listing,exact,
CDM-410,TESTCDM-88,Subtask,Bug fix: remove duplicates causing mutate function to fail,exact,
CDM-451,TESTCDM-89,Subtask,Add Evaluation Column to the tracker,exact,
CDM-497,TESTCDM-90,Subtask,Bug fix: gen_ret_status_counts function,exact,
