key,type,summary,date_opened,reporter,parent_key,current_epic,current_status,current_resolution,current_assignee,current_labels,proposed_epic,proposed_status,proposed_resolution,proposed_assignee,cat-*,proj-*,study-*,notes
CDM-1,Task,Create Projected Visits Report + Mechanism for Clinical Operations,2022-02-22,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-metrics,study-l101,L101 visits report; pre-2026 archive
CDM-2,Task,"Generate Visualizations/Tables for Distributions of Sex, Age, Smoking between Cancer/Non-Cancer Subjects in L101-NYU",2022-02-22,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-reporting,proj-metrics,study-l101,"[Sonnet re-pass] Generating distribution tables/visualizations for cancer/non-cancer subjects — standalone reporting output, cat-reporting.; L101 distributions/demographics report; pre-2026"
CDM-6,Task,Science37 Integration With Rave Tested and Approved,2022-02-17,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,Functional-Area,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l201,Science37 Rave integration; pre-2026 EDC work
CDM-7,Task,L201 CRF Approval,2022-02-15,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,Functional-Area,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l201,L201 CRF approval; pre-2026 EDC
CDM-9,Task,Confirm No Changes are Needed to L101 1/3 Data Cleaning Plan,2022-02-15,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,Functional-Area,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-cpt,study-l101,[Sonnet re-pass] Confirming L101 data cleaning plan — data cleaning is the CPT workflow.; L101 data cleaning plan confirmation; pre-2026
CDM-10,Goal,Identify 2+ New Features and/or Computational Methods to Improve Prediction Through Machine Learning and Strengthen Knowledge Base with 2+ New Patent Applications and/or Publications,2022-02-15,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-programming,,study-cross,ML features/patents goal; pre-2026 corporate; deprecated issue type (Goal)
CDM-11,Task,Clinical Data Lock SOP,2022-02-15,Lee Ming Sun (inactive),,,Done,Done,Clarice Grant,Functional-Area,Pre-2026 Legacy,Done,Done,Clarice Grant (inactive),cat-operations,,study-cross,Data lock SOP; pre-2026 infrastructure
CDM-12,Goal,Achieving Partnership Goals in 2 of 3 Categories,2022-02-15,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Partnership goals; pre-2026 corporate; deprecated issue type (Goal)
CDM-18,Task,Finalize Data Cleaning Plan or Data Snapshot Plan,2022-02-15,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,Functional-Area,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-cpt,study-l101,[Sonnet re-pass] Finalize Data Cleaning Plan / Data Snapshot Plan for L101 — cleaning/snapshot planning is CPT work.; Finalize L101 data cleaning plan; pre-2026
CDM-19,Task,NYU Retrospective DTS Documents,2022-02-15,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Lee Ming Sun,Functional-Area,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,proj-edc,study-l101,[Sonnet re-pass] NYU Retrospective DTS Documents — DTS (Data Transfer Specification) is an EDC artifact.; NYU retrospective DTS docs; pre-2026
CDM-20,Goal,Expand Product Portfolio to Multi-Cancer and 1 Other Screening/Diagnostic Opportunities,2022-02-15,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-cross,Multi-cancer portfolio expansion goal; pre-2026; deprecated issue type (Goal)
CDM-22,Goal,L201 FPI (by 04/30) and 25% Enrollment Complete (by 12/31),2022-02-15,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l201,L201 FPI and enrollment goal; pre-2026; deprecated issue type (Goal)
CDM-24,Goal,LDT - Complete Clinical Validation and Infrastructure Readiness for LDT Launch in Q1'23 ,2022-02-15,Lee Ming Sun (inactive),CDM-46,CDM-46,To Do,,UNASSIGNED,Corporate,Pre-2026 Legacy,Dismissed,Won't Do,UNASSIGNED,cat-operations,,study-l101,LDT clinical validation infrastructure goal; pre-2026; deprecated issue type (Goal)
CDM-26,Task,L201 Initial CDMP April 2022,2022-02-15,Lee Ming Sun (inactive),CDM-80,CDM-80,Done,Done,Lee Ming Sun,Functional-Area,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,,study-l201,L201 CDMP April 2022; pre-2026
CDM-27,Task,Approve L101 1/3 Data Release,2022-02-15,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,Functional-Area,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-cpt,study-l101,[Sonnet re-pass] Approve L101 1/3 Data Release — data release approval is part of CPT clean/lock process.; L101 1/3 data release approval; pre-2026
CDM-29,Task,Approve L101 2/3 Data Release,2022-02-15,Lee Ming Sun (inactive),CDM-79,CDM-79,Done,Done,Eric Dixon,Functional-Area,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-cpt,study-l101,"[Sonnet re-pass] Approve L101 2/3 Data Release — same as CDM-27, CPT release approval.; L101 2/3 data release approval; pre-2026"
CDM-31,Task,Determine Data Lock Mechanism,2022-02-15,Lee Ming Sun (inactive),,,Done,Done,Lee Ming Sun,Functional-Area,Pre-2026 Legacy,Done,Done,Lee Ming Sun (inactive),cat-operations,,study-cross,Determine data lock mechanism; pre-2026
CDM-40,Subtask,Draft Data Cleaning Plan or Data Snapshot Plan,2022-02-16,Lee Ming Sun (inactive),CDM-18,CDM-79,Done,Done,Eric Dixon,Functional-Area,Pre-2026 Legacy,Done,Done,Eric Dixon,cat-operations,proj-cpt,study-l101,"[Sonnet re-pass] Draft Data Cleaning Plan / Snapshot Plan — subtask of CDM-18, CPT cleaning workflow.; Draft data cleaning plan; pre-2026; [subtask: parent stays at CDM-18; epic inherited]"
